trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
215,False,"{'a': 0.3, 'e': 0.11648415777349697}",25,14,13.172019018455146,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.3, 'e': 0.11532512103806251}",30,14,25.516431109958507,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.3, 'e': 0.11417761691083649}",30,0,30.348936565436027,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
218,False,"{'a': 0.3, 'e': 0.11304153064044985}",25,19,13.402956739622129,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.3, 'e': 0.11191674861732889}",25,8,-3.7325504657984205,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
220,False,"{'a': 0.3, 'e': 0.11080315836233387}",30,13,29.70830363670277,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.3, 'e': 0.10970064851551141}",30,13,29.523254033625065,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.3, 'e': 0.10860910882495797}",25,8,30.559485460874942,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.3, 'e': 0.10752843013579495}",20,10,18.434300278662185,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.3, 'e': 0.1064585043792528}",25,18,13.617610013790342,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.3, 'e': 0.10539922456186433}",25,20,10.65648331607486,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.3, 'e': 0.104350484754765}",20,13,12.616124425061988,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.3, 'e': 0.1033121800831002}",25,18,12.84517171407617,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.3, 'e': 0.10228420671553744}",20,6,21.70651660092323,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.3, 'e': 0.10126646185388341}",30,22,15.892474138335015,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.3, 'e': 0.1002588437228037}",25,9,-25.651696045174603,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
231,False,"{'a': 0.3, 'e': 0.09926125155964564}",30,16,13.195785462628313,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
232,False,"{'a': 0.3, 'e': 0.09827358560436156}",20,11,16.57321718582893,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.3, 'e': 0.09729574708953277}",25,0,-19.986259554807493,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
234,False,"{'a': 0.3, 'e': 0.09632763823049303}",20,9,11.915219279217265,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.3, 'e': 0.09536916221554961}",25,2,40.550064862765126,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.3, 'e': 0.09442022319630235}",20,2,30.910735843124066,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.3, 'e': 0.09348072627805847}",25,0,33.38618554191738,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
238,False,"{'a': 0.3, 'e': 0.09255057751034329}",25,0,35.604921147304644,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
239,False,"{'a': 0.3, 'e': 0.09162968387750484}",35,4,27.405300396693352,"{0: 29, 1: 0, 2: 2, 3: 0, 4: 0}",1
240,False,"{'a': 0.3, 'e': 0.09071795328941251}",20,4,3.4606639639881887,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
241,False,"{'a': 0.3, 'e': 0.08981529457224763}",25,7,20.33418780136817,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
242,False,"{'a': 0.3, 'e': 0.08892161745938634}",20,2,25.863703774289643,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.3, 'e': 0.08803683258237255}",20,10,8.588749637104918,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
244,False,"{'a': 0.3, 'e': 0.0871608514619813}",25,14,22.17470622693594,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.3, 'e': 0.0862935864993705}",25,9,22.798136735969035,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.3, 'e': 0.08543495096732123}",20,3,18.427736258113992,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
247,False,"{'a': 0.3, 'e': 0.08458485900156469}",25,9,31.173029697738663,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.3, 'e': 0.08374322559219596}",30,0,-42.46455706318085,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
249,False,"{'a': 0.3, 'e': 0.08290996657517266}",20,14,11.48153252318436,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.3, 'e': 0.0820849986238988}",35,19,29.88872842994772,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.3, 'e': 0.08126823924089167}",20,16,6.426735192616793,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.3, 'e': 0.08045960674953243}",25,20,10.671344377388829,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.3, 'e': 0.07965902028589801}",25,18,12.572781526249369,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.3, 'e': 0.07886639979067495}",25,20,5.7541907105814065,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.3, 'e': 0.07808166600115313}",30,4,46.18278258871648,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.3, 'e': 0.07730474044329974}",25,18,12.86240232887663,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.3, 'e': 0.07653554542391151}",20,3,26.913470362160183,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.3, 'e': 0.07577400402284548}",20,12,11.62109690603554,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.3, 'e': 0.07502004008532698}",25,11,6.751270706009249,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
260,False,"{'a': 0.3, 'e': 0.07427357821433388}",20,0,22.119375945187272,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
261,False,"{'a': 0.3, 'e': 0.0735345437630571}",20,8,18.86537055794527,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.3, 'e': 0.07280286282743559}",25,12,29.72848857244299,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.3, 'e': 0.0720784622387661}",20,0,-55.55781221043057,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
264,False,"{'a': 0.3, 'e': 0.07136126955638605}",20,9,5.034492694348689,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
265,False,"{'a': 0.3, 'e': 0.0706512130604296}",30,16,-15.94850227925424,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
266,False,"{'a': 0.3, 'e': 0.06994822174465536}",25,7,18.21956572411672,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
267,False,"{'a': 0.3, 'e': 0.06925222530934598}",20,10,17.2878214344349,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.3, 'e': 0.06856315415427791}",25,13,15.800537501943325,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.3, 'e': 0.06788093937176144}",20,2,28.647624411535762,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.3, 'e': 0.06720551273974976}",20,9,-20.175350148969642,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
271,False,"{'a': 0.3, 'e': 0.06653680671501686}",20,11,18.057904844163943,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.3, 'e': 0.06587475442640295}",20,16,8.500453020054543,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.3, 'e': 0.06521928966812753}",25,16,18.047322829680148,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.3, 'e': 0.06457034689316847}",35,17,33.29140434128895,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.3, 'e': 0.06392786120670757}",20,3,32.185786260613206,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.3, 'e': 0.0632917683596407}",20,11,-16.61734722149469,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
277,False,"{'a': 0.3, 'e': 0.06266200474215315}",25,1,43.91140497956901,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.3, 'e': 0.06203850737735829}",20,14,8.464058812021602,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.3, 'e': 0.06142121391500013}",20,15,10.245002580937804,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.3, 'e': 0.060810062625217945}",35,15,2.2858401640169466,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
281,False,"{'a': 0.3, 'e': 0.06020499239237355}",25,13,23.895170178811036,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.3, 'e': 0.05960594270893936}",20,13,15.123754933208412,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.3, 'e': 0.059012853669447835}",25,16,15.68688673810055,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.3, 'e': 0.05842566596450083}",20,6,26.566413018793924,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.3, 'e': 0.05784432087483846}",20,0,16.78409941250285,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
286,False,"{'a': 0.3, 'e': 0.05726876026546735}",35,16,27.872096403138272,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.3, 'e': 0.05669892657984691}",20,12,14.682854835674544,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.3, 'e': 0.056134762834133725}",25,10,31.045311414757652,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.3, 'e': 0.05557621261148306}",20,6,26.400911907421865,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.3, 'e': 0.05502322005640723}",25,11,24.061228906549506,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.3, 'e': 0.05447572986918986}",25,16,20.59592828151218,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.3, 'e': 0.05393368730035602}",25,20,8.125951704206585,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.3, 'e': 0.05339703814519708}",30,17,26.67722841001195,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.3, 'e': 0.05286572873835037}",20,16,6.473190757343459,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
